"filename", "language", "JavaScript", "JSON with Comments", "Markdown", "YAML", "JSON", "TypeScript", "HTML", "Ini", "Vue", "SCSS", "JSON5", "PostCSS", "comment", "blank", "total"
"e:\Workspace\Applications\talex-touch\app\core\src\components\menu\TouchMenuItem.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 17, 101
"e:\Workspace\Applications\talex-touch\app\core\src\components\plugin\PluginIcon.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 28, 135
"e:\Workspace\Applications\talex-touch\app\core\src\components\plugin\PluginInfo.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 0, 14, 127
"e:\Workspace\Applications\talex-touch\app\core\src\components\plugin\PluginItem.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 156, 0, 0, 0, 30, 39, 225
"e:\Workspace\Applications\talex-touch\app\core\src\components\plugin\PluginView.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 135, 0, 0, 0, 8, 41, 184
"e:\Workspace\Applications\talex-touch\app\core\src\components\plugin\action\PluginStatus.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 170, 0, 0, 0, 1, 35, 206
"e:\Workspace\Applications\talex-touch\app\core\src\components\plugin\action\mention\PluginApplyInstall.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 3, 24, 114
"e:\Workspace\Applications\talex-touch\app\core\src\components\plugin\layout\PluginCard.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 4, 29, 157
"e:\Workspace\Applications\talex-touch\app\core\src\components\plugin\layout\PluginList.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 23, 99
"e:\Workspace\Applications\talex-touch\app\core\src\components\plugin\layout\PluginListModule.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 0, 3, 55, 223
"e:\Workspace\Applications\talex-touch\app\core\src\components\tabs\TMenuItem.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 2, 13, 118
"e:\Workspace\Applications\talex-touch\app\core\src\components\tabs\TMenuTabs.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 4, 40, 152
"e:\Workspace\Applications\talex-touch\app\core\src\components\tabs\TTabHeader.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 4, 8, 40
"e:\Workspace\Applications\talex-touch\app\core\src\components\tabs\TTabItem.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 5, 10, 97
"e:\Workspace\Applications\talex-touch\app\core\src\components\tabs\TTabItemGroup.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"e:\Workspace\Applications\talex-touch\app\core\src\components\tabs\TTabs.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 243, 0, 0, 0, 55, 102, 400
"e:\Workspace\Applications\talex-touch\app\core\src\components\tabs\vertical\TvTabItem.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 5, 10, 90
"e:\Workspace\Applications\talex-touch\app\core\src\components\tabs\vertical\TvTabItemGroup.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"e:\Workspace\Applications\talex-touch\app\core\src\components\tabs\vertical\TvTabs.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 159, 0, 0, 0, 18, 49, 226
"e:\Workspace\Applications\talex-touch\app\core\src\components\terminal\InteractiveTerminal.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 4, 17, 83
"e:\Workspace\Applications\talex-touch\app\core\src\components\terminal\LogTerminal.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 12, 27, 109
"e:\Workspace\Applications\talex-touch\app\core\src\components\tree\FileTree.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 177, 0, 0, 0, 4, 33, 214
"e:\Workspace\Applications\talex-touch\app\core\src\env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 2, 5, 54
"e:\Workspace\Applications\talex-touch\app\core\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 9, 35
"e:\Workspace\Applications\talex-touch\app\core\src\modules\channel\channel-core.ts", "TypeScript", 0, 0, 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 2, 33, 181
"e:\Workspace\Applications\talex-touch\app\core\src\modules\channel\main\index.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"e:\Workspace\Applications\talex-touch\app\core\src\modules\channel\main\node.ts", "TypeScript", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 10, 38
"e:\Workspace\Applications\talex-touch\app\core\src\modules\channel\main\shortcon.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 7, 25
"e:\Workspace\Applications\talex-touch\app\core\src\modules\channel\plugin-core\api.ts", "TypeScript", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 35, 19, 89
"e:\Workspace\Applications\talex-touch\app\core\src\modules\channel\plugin-core\index.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
